HVH_022_000001	癸酉大雨
HVH_022_000406	動物理
HVH_022_000407	澤起哀鸿
HVH_022_000408	政除哥
HVH_022_000409	虎
HVH_022_000410	周
HVH_022_000411	以龍
HVH_022_000412	興秦
HVH_022_000413	以视
HVH_022_000414	驾六鳳御二竜
HVH_022_000415	白狼遠至
HVH_022_000416	素雉朝飛
HVH_022_000417	竜耀天衢
HVH_022_000418	鳳巢阿阁
HVH_022_000419	鹑居轂饮
HVH_022_000420	獸舞凤肆雍
HVH_022_000421	揚鼓之
HVH_022_000422	輝洋
HVH_022_000423	水着盛
HVH_022_000424	加意飛之象
HVH_022_000425	観无变文雉門
HVH_022_000426	縣象
HVH_022_000427	鳳氣
HVH_022_000428	来意
HVH_022_000429	鸿
HVH_022_000430	禧锡被
HVH_022_000431	燕
HVH_022_000432	翼貽谌
HVH_022_000433	騶虞仁及庶頞
HVH_022_000434	鸳鸯德被諸佳
HVH_022_000435	貽燕謀
HVH_022_000436	施駿惠
HVH_022_000437	惊虎尾
HVH_022_000438	刺羔
HVH_022_000439	戒会荒
HVH_022_000440	讥藕翼
HVH_022_000441	居者逐
HVH_022_000442	鹿者出
HVH_022_000443	者愚似
HVH_022_000444	鼠者畏
HVH_022_000445	六馬
HVH_022_000446	鳩萬民
HVH_022_000447	庶明翼总
HVH_022_000448	寡惠軒
HVH_022_000449	辣
HVH_022_000450	居有
HVH_022_000451	熊
HVH_022_000452	鳳凰巢阿圈
HVH_022_000453	丈
HVH_022_000454	王為西
HVH_022_000455	伯獄鸣於岐
HVH_022_000456	山
HVH_022_000457	禹
HVH_022_000458	有白九尾之瑞
HVH_022_000459	渴有黄鱼雙湧龍岡
HVH_022_000460	示
HVH_022_000461	夏禹巡狩
HVH_022_000462	黄竜员舟
HVH_022_000463	武
HVH_022_000464	王渡津赤乌集屋
HVH_022_000465	东面厦
HVH_022_000466	凰翔庭
HVH_022_000467	童圖呈瑞龟宇効靈
HVH_022_000468	從占竜信
HVH_022_000469	及脉鱼以
HVH_022_000470	上動物門植物周
HVH_022_000471	官
HVH_022_000472	械樸
HVH_022_000473	相
HVH_022_000474	盟梅
HVH_022_000475	御
HVH_022_000476	羅圖而出治
HVH_022_000477	被
HVH_022_000478	澡火而楊华
HVH_022_000479	舜田金粟
HVH_022_000480	美台萊
HVH_022_000481	陌紫芸
HVH_022_000482	德木连理福草业生仁沾葭五
HVH_022_000483	恩膏黍苗
HVH_022_000484	颂松柜
HVH_022_000485	條枚孔途澤
HVH_022_000486	折柳傷公之
HVH_022_000487	煩切其蘇望誦保文章松棟
HVH_022_000488	橋
HVH_022_000489	华堂
HVH_022_000490	呈瑞
HVH_022_000491	詢及务嘉
HVH_022_000492	心傷苑柳
HVH_022_000493	軒
HVH_022_000494	轅之庭生屈
HVH_022_000495	铁
HVH_022_000496	陶唐厨生蒲
HVH_022_000497	冀美
HVH_022_000498	生蒲
HVH_022_000499	以上植物門雜组尧
HVH_022_000500	步舜
HVH_022_000501	驟
HVH_022_000502	禹驰
HVH_022_000503	湯马
HVH_022_000504	方
HVH_022_000505	轩
HVH_022_000506	邁色
HVH_022_000507	北舜
HVH_022_000508	陵鸡
HVH_022_000509	牢爸妈夏驰驅
HVH_022_000510	以上雜組門
HVH_022_000511	髦
HVH_022_000512	招以弓兮以玉
HVH_022_000513	干族聘士舟辑濟
HVH_022_000514	君垂神措
HVH_022_000515	藕玉盗
HVH_022_000516	兮買羁以索
HVH_022_000517	體而八
HVH_022_000518	猶治絲如
HVH_022_000519	製锦以上器具門
HVH_022_000520	勇物鸠扈
HVH_022_000521	命
HVH_022_000522	官鸟
HVH_022_000523	竜
HVH_022_000524	熊熊措
HVH_022_000525	变虎
HVH_022_000526	鸣鑾晋
HVH_022_000527	占頑鼠頤卜靈龜乱臣
HVH_022_000528	豐牛為尽
HVH_022_000529	臣史魚秉直
HVH_022_000530	叔豹知
HVH_022_000531	禮董永良史阳免乱
HVH_022_000532	以上動物門
HVH_022_000533	佐軍之
HVH_022_000534	木死德而
HVH_022_000535	食曼满肆圖
HVH_022_000536	卿之语祁美善
HVH_022_000537	樂盈叛國
HVH_022_000538	石纯目考叔纯
HVH_022_000539	史魚尸諫拳兵諫
HVH_022_000540	敷手心肾腹作
HVH_022_000541	肤股肪
HVH_022_000542	耳目勤相
HVH_022_000543	國家
HVH_022_000544	弼亮
HVH_022_000545	天地
HVH_022_000546	作霖雨
HVH_022_000547	召風雷线土食毛
HVH_022_000548	犯颜逆
HVH_022_000549	耳沔
HVH_022_000550	水规玉思日赞
HVH_022_000551	襄
HVH_022_000552	弼我明后
HVH_022_000553	司传書名
HVH_022_000554	司马書服
HVH_022_000555	司空書力
HVH_022_000556	鹤鸣誨主
HVH_022_000557	以上雜組門父母附子道不肖天文春露秋霜
HVH_022_000558	冬温夏清
HVH_022_000559	晨修文潔出儀八风
HVH_022_000560	悦深愛日
HVH_022_000561	怨賦凯風
HVH_022_000562	上天文門
HVH_022_000563	卦名稿節見毅列昇興悲
HVH_022_000564	包蒙可以克家
HVH_022_000565	幹盛可能益父
HVH_022_000566	乾父坤母
HVH_022_000567	震男艮女
HVH_022_000568	不臨深
HVH_022_000569	如履
HVH_022_000570	薄颜復恩深
HVH_022_000571	杖復孝
HVH_022_000572	備爱惟深離里
HVH_022_000573	老戒恒言以上卦
HVH_022_000574	名门方位三顧将殺南子偏衣而伐東山歌南山咏地山以上方位门
HVH_022_000575	ip
HVH_022_000576	人品
HVH_022_000577	考权遗美申生为昨
HVH_022_000578	無不格姦变亦允
HVH_022_000579	蹇叔哭師知子必亡雷王
HVH_022_000580	車傷嗣見殺
HVH_022_000581	石醋滅之以義
HVH_022_000582	狱突教之以
HVH_022_000583	忠祁奚学之以善
HVH_022_000584	孟僖子屬
HVH_022_000585	蔡靈而不父介推隐而偕嗣補遇
HVH_022_000586	公孫教有子称賢
HVH_022_000587	仲
HVH_022_000588	由負米
HVH_022_000589	闵
HVH_022_000590	子推車母以上人品門数目视属
HVH_022_000591	者再
HVH_022_000592	問者
HVH_022_000593	二
HVH_022_000594	五者不遂
HVH_022_000595	三者不除
HVH_022_000596	八元八
HVH_022_000597	愷三族三
HVH_022_000598	凶七人莫慰
HVH_022_000599	四牡明發二人
HVH_022_000600	本支百世
HVH_022_000601	不遑
HVH_022_000602	堂問以三
HVH_022_000603	齡锡以九谗者二五
HVH_022_000604	不言者三年
HVH_022_000605	五公子争立
HVH_022_000606	三公子皆君
HVH_022_000607	以上数目門采
HVH_022_000608	逸笙
HVH_022_000609	譜白
HVH_022_000610	华
HVH_022_000611	詩
HVH_022_000612	歌黄
HVH_022_000613	鳥
HVH_022_000614	白旄不及黄泉相见
HVH_022_000615	以上宋色门龍岡
HVH_022_000616	器具奉盈執五植璧東
HVH_022_000617	圭弄以璋
HVH_022_000618	設以
HVH_022_000619	敬進杯捲
HVH_022_000620	奉盤
HVH_022_000621	嗣乃服祈
HVH_022_000622	乃算
HVH_022_000623	祸成珮玖衅起靳祛
HVH_022_000624	事能祗服祥叶摇
HVH_022_000625	绳為主器不同
HVH_022_000626	康以上器具门商
HVH_022_000627	臣逢目
HVH_022_000628	享江而甲起宫
HVH_022_000629	中子裁爵声
HVH_022_000630	围伯赢而祸生烝野
HVH_022_000631	以上動物門
HVH_022_000632	龍岡黎供親椒莺其馨
HVH_022_000633	樹期
HVH_022_000634	其静蘋蘩
HVH_022_000635	米瓜绵台求
HVH_022_000636	仁栗譜陵蘭禮載員
HVH_022_000637	薪詩歌采
HVH_022_000638	芭以上植物
HVH_022_000639	門以上雜組門干支已氏
HVH_022_000640	之子皆
HVH_022_000641	申生之冤莫
HVH_022_000642	白二子同舟
HVH_022_000643	参辰異
HVH_022_000644	地出奔者地辰廷其
HVH_022_000645	兄将
HVH_022_000646	弑者依辛正其弟
HVH_022_000647	以
HVH_022_000648	上方
HVH_022_000649	位
HVH_022_000650	門以上永后
HVH_022_000651	器
HVH_022_000652	具執豆请席請补常则肆筵設儿度则破斧缺叔帯貽宜白被反
HVH_022_000653	、诊憾無治絲
HVH_022_000654	之築城無置新價遵豆
HVH_022_000655	操几
HVH_022_000656	杖可员务以上器具门醍酒言歡動
HVH_022_000657	此
HVH_022_000658	閱於門居
HVH_022_000659	榭而祸
HVH_022_000660	成兵
HVH_022_000661	甲毁其室
HVH_022_000662	监而衅
HVH_022_000663	起鸽原致歎并蜂多难
HVH_022_000664	孔燕言
HVH_022_000665	歡伯
HVH_022_000666	虎仲
HVH_022_000667	熊
HVH_022_000668	季叔
HVH_022_000669	豹驿弓翩
HVH_022_000670	反室飘摇祸延封
HVH_022_000671	永衅起
HVH_022_000672	攘输載咏莺鸣母
HVH_022_000673	歌雀吠
HVH_022_000674	雁行是
HVH_022_000675	樂燕喜联歡子魚讓國伯禽
HVH_022_000676	就封
HVH_022_000677	象八其兄之官
HVH_022_000678	麋奪其兄之邑冀牛因田而弑兄叔羽因乱而滅族营
HVH_022_000679	裘而隐能
HVH_022_000680	讓國烏集鹤翼成行
HVH_022_000681	鹭飛有序叔
HVH_022_000682	向之與
HVH_022_000683	叔得立
HVH_022_000684	為君
HVH_022_000685	牛羊
HVH_022_000686	勿赋
HVH_022_000687	践鹤鸽在原虎
HVH_022_000688	向魅之與向失鹑奔鹊
HVH_022_000689	疆鸿影狼
HVH_022_000690	公卿立羯
HVH_022_000691	逢澤介康以上動物門植物盟堪结艾
HVH_022_000692	封可
HVH_022_000693	桐蔓母使
HVH_022_000694	滋茶
HVH_022_000695	奚堪按棣棠瓜徙绵笃友
HVH_022_000696	谊於行常追芳踪
HVH_022_000697	於孤竹芭松茂並枝连
HVH_022_000698	葛黄庇杖杜生松无发印行改育
HVH_022_000699	而得國
HVH_022_000700	遇華盗而亡
HVH_022_000701	身折桑可畏
HVH_022_000702	集蓼可懲
HVH_022_000703	以上植物门歎風雨
HVH_022_000704	呼日
HVH_022_000705	月
HVH_022_000706	於朝或哭於市
HVH_022_000707	以上干支門
HVH_022_000708	以上卦名門
HVH_022_000709	晋得南威吴
HVH_022_000710	亡西子
HVH_022_000711	以
HVH_022_000712	上方位門
HVH_022_000713	人品慶盧通风祁鄔易妻子南取吾犯之妹而子皙怒孔闺娶蒯之妹而良夫通妻
HVH_022_000714	戒伯宗好直及難
HVH_022_000715	要事冀缺相敬如宾辟司
HVH_022_000716	徒之妻贤孔
HVH_022_000717	父嘉妻息
HVH_022_000718	妈无咨
HVH_022_000719	語盖仁盟公以上人
HVH_022_000720	品門
HVH_022_000721	以上数
HVH_022_000722	目門
HVH_022_000723	、
HVH_022_000724	齊慶克通声孟子乘八以上器具门
HVH_022_000725	動物共勛雞
HVH_022_000726	鳴無虞龙吠鼠牙雀舟蝶首
HVH_022_000727	蛾眉譽隆貓虎叶
HVH_022_000728	蛇鸿離鱼網鳩集鹊巢
HVH_022_000729	乾象飛竜
HVH_022_000730	坤占北
HVH_022_000731	馬龍浆夏后
HVH_022_000732	馬走岐山
HVH_022_000733	元禽綺曲
HVH_022_000734	朝雉新歌竈占鱼貫
HVH_022_000735	欢切鹳鸣見弋雁
HVH_022_000736	秣馬袜駒
HVH_022_000737	德彰燕
HVH_022_000738	婉
HVH_022_000739	慶衍
HVH_022_000740	金
HVH_022_000741	斯发如齿
HVH_022_000742	如犀
HVH_022_000743	驪歌出宿
HVH_022_000744	燕今居
HVH_022_000745	鳴雁雨妻開
HVH_022_000746	雅求女
HVH_022_000747	偕老而歌象服
HVH_022_000748	于役而咏
HVH_022_000749	雞楼載歌驅馬
HVH_022_000750	小钊羊
HVH_022_000751	为唁而咏载馳結而歌皇
HVH_022_000752	駿蝦辣县歌
HVH_022_000753	女子虾载美碩人禮隆奠
HVH_022_000754	雁尊敬飞蟲為泉為
HVH_022_000755	鸥有有鹤全贵天
HVH_022_000756	永信南古无独天衣
HVH_022_000757	島之昌艺花情要
HVH_022_000758	诸县天子
HVH_022_000759	以上動物門相伐
HVH_022_000760	、葉同蕉
HVH_022_000761	萃臭别熏
HVH_022_000762	織蒲示儉
HVH_022_000763	季蘭昭敬
HVH_022_000764	或與蘭而徵夢或采桑而洩謀旨堪米蓄苦
HVH_022_000765	或如茶佩雜蘭贊嚴
HVH_022_000766	榛栗班政蘭閨
HVH_022_000767	宣禮椒室恩周葛万米
HVH_022_000768	及菲梅標造吉桃天及時不績其
HVH_022_000769	麻並休
HVH_022_000770	其織采蘋
HVH_022_000771	永澡赠赠蘭折檀折
HVH_022_000772	祀刘变
HVH_022_000773	刈
HVH_022_000774	苦同匏业怨起营华
HVH_022_000775	美
HVH_022_000776	美冶容富戒演色宜徽華督日逆而送婦
HVH_022_000777	孟仁割臂以盟
HVH_022_000778	公以上雜組門妾為夫人無其
HVH_022_000779	禮也以
HVH_022_000780	上精義門天文人沾
HVH_022_000781	他
HVH_022_000782	雨座
HVH_022_000783	艳春
HVH_022_000784	风晨夕相
HVH_022_000785	随春莫赞
HVH_022_000786	以上天文門地興道傳几
HVH_022_000787	康身列
HVH_022_000788	門牆以上地澳門
HVH_022_000789	背其師而忘
HVH_022_000790	恩孫丁貫
HVH_022_000791	臂以上干友
HVH_022_000792	門以
HVH_022_000793	上卦名
HVH_022_000794	門以
HVH_022_000795	上方位
HVH_022_000796	门以
HVH_022_000797	上人品門
HVH_022_000798	设运数临常師第龍网五年親師十年取友十岁就外
HVH_022_000799	傳十五八大学教
HVH_022_000800	刑之物有
HVH_022_000801	二舉隅
HVH_022_000802	不反以三以上数目門米色顓琪
HVH_022_000803	学乎緑圖帝学学手赤校以
HVH_022_000804	上宋色门器具复楚示威
HVH_022_000805	捷示戒
HVH_022_000806	買筹従游樞
HVH_022_000807	衣趨側
HVH_022_000808	員牆而立
HVH_022_000809	避席而
HVH_022_000810	刘叩鐘而應鸣鼓而攻以上器具
HVH_022_000811	門動物尚父維
HVH_022_000812	師鹰楊著烈知子教我鳳紀名官以上動
HVH_022_000813	物門植物洋水米芹宫释菜以上植
HVH_022_000814	物门
HVH_022_000815	天文雪来柳往雨
HVH_022_000816	晦風清谷
HVH_022_000817	風抱
HVH_022_000818	日盟心
HVH_022_000819	以上天文門寸表两地千
HVH_022_000820	里
HVH_022_000821	一堂他
HVH_022_000822	山有藉
HVH_022_000823	麗澤
HVH_022_000824	有
HVH_022_000825	占君
HVH_022_000826	子之交淡
HVH_022_000827	也都水
HVH_022_000828	五
HVH_022_000829	足地之学富手名山以上地輿
HVH_022_000830	門
